"text","text","best_surface2_id"
"abdomen","ab","406668"
"abduction","alien","60006"
"abide","house","1450"
"abide","adobe","197299"
"abide","residence","216282"
"abide","live domicile","498407"
"abide","adobe anagram","508418"
"ability","able","30352"
"able","tablecloth","57885"
"able","good","167428"
"able","ability","242374"
"able","cain","409995"
"able","can do","410085"
"absolution","forgiveness","89525"
"abundance","many","488293"
"abyss","void","178943"
"academy","school","76"
"academy","police","776"
"acceleration","go fast","83428"
"acceleration","speed up","118433"
"accept","college","7332"
"accept","respect","24464"
"accept","give","64864"
"accept","receive","93164"
"accept","decline","249482"
"accept","verb","277069"
"accept","expect","418424"
"accept","rsvp","425906"
"accept","take","430004"
"accept","axe apt","508510"
"accept","except homonym","509025"
"accident","damage","31943"
"accident","car crash","89654"
"accident","smash car","499176"
"accomplice","crime","2054"
"accord","agreement","30674"
"account","bank","925"
"account","bill","1366"
"account","money","1416"
"account","balance","31483"
"account","register","77456"
"account","check","210632"
"account","check savings","410533"
"account","money count","488880"
"account","same yours","499004"
"account","bank customer","503408"
"account","savings deposit","504759"
"account","withdraw","505162"
"account","profile","508393"
"accuser","accuse","503445"
"acidity","ph level","504577"
"acre","land","9357"
"act","verb","1672"
"act","hollywood","10734"
"act","cat","10919"
"act","movie","11337"
"act","drama","34178"
"act","play","39910"
"act","theatre","44159"
"act","do something","179428"
"act","scene","286869"
"act","thespian","429393"
"act","to do","429807"
"act","shakespeare","466632"
"act","give performance","498054"
"act","role play","498953"
"act","stage play","502153"
"act","synonym","508961"
"actual","real","24737"
"acumen","knowledge","1119"
"add","math","22243"
"add","commercial","37942"
"add","mathematics","38785"
"add","plus","294537"
"add","subtract","403926"
"add","increase","486522"
"add","abbreviate","508412"
"addition","subtraction","216414"
"address","house","5229"
"address","number","71447"
"address","post office","168907"
"address","delivery","215674"
"address","residence","216282"
"address","envelope","271778"
"address","phone number","275736"
"address","envelop","404578"
"address","street name","428580"
"address","street number","428581"
"address","zip code","432701"
"address","house location","450519"
"address","location house","454848"
"address","postal location","463341"
"address","postal code","504623"
"adjective","grammar","273815"
"adjective","verb noun","431094"
"adjective","modify noun","498526"
"adjective","describe function","508937"
"administration","leadership","118745"
"admiral","naval leader","457876"
"admire","much","419170"
"admission","high school","19872"
"admission","allow","503332"
"admit","lie","1554"
"admit","ticket","24039"
"admit","allow","120520"
"admit","confess","190979"
"admit","amidst","434409"
"admit","tell truth","470463"
"admit","hospital entry","504148"
"admit","mint","508390"
"admit","confess guilt","508843"
"adolescence","teenager","6896"
"adolescence","puberty","138908"
"adolescence","adult","270801"
"adopt","child","497"
"adopt","family","56930"
"adopt","foster child","404696"
"adopt","new kid","459546"
"adopt","take child","470183"
"adopt","orphanage","498006"
"adopt","give child","498055"
"adopt","new family","498593"
"adopt","parenthood","498717"
"adopt","childless couple","503627"
"adopt","foster care","503964"
"adopt","infertility","504182"
"adopt","orphan","504522"
"advance","battle","6945"
"advance","progress","21747"
"advance","paycheck","123375"
"advance","future money","447282"
"advance","go forward","448041"
"advance","novice rank","504486"
"advantage","superiority","428806"
"advantage","upper hand","473220"
"advantage","vantage ad","499523"
"advantage","lead others","504265"
"adventure","movie","11337"
"adventure","excitement","22324"
"adventure","safari","30245"
"adventure","indiana jone","320717"
"adventure","action movie","406732"
"adventure","journey","452260"
"adventure","excursion","476779"
"adventure","christmas calendar","508791"
"adventurer","indian jone","319842"
"adventurer","indiana jone","320717"
"adverb","verb","40938"
"adverb","describe","186415"
"adverb","grammar","273815"
"adverb","adjective","275242"
"adverb","verb adjective","431081"
"adversity","verse","403829"
"adversity","grief problem","504049"
"affair","love","70"
"affair","lover","489"
"affair","cheat","11313"
"affair","infidelity","31939"
"affair","marriage","37048"
"affair","adultery","50441"
"affair","divorce","58574"
"affair","have an","404864"
"affair","husband wife","417263"
"affair","extramarital","444561"
"affair","marriage infidelity","488335"
"affair","hullabaloo","498223"
"affair","marital cheat","504338"
"affection","love","70"
"affection","effect","181626"
"afford","money","1416"
"afford","buy","21556"
"afford","enough money","28084"
"afford","spend","56201"
"afford","pay","438869"
"afford","payable","462041"
"afternoon","late day","453099"
"afternoon","move low","498554"
"again","redo","240421"
"again","once","423015"
"again","happen twice","504081"
"age","person","262"
"age","nothing","479"
"age","time","2869"
"age","young","15594"
"age","grow up","24266"
"age","pass time","27562"
"age","youth","49662"
"age","birthday","57624"
"age","birth","66099"
"age","ten","68283"
"age","number","71447"
"age","wrinkle","83557"
"age","thirty","100759"
"age","years","182155"
"age","century","282047"
"age","teen","297944"
"age","era","404579"
"age","grow old","404796"
"age","how old","417141"
"age","last","418603"
"age","many birthday","420260"
"age","many year","420392"
"age","number year","422520"
"age","old young","422865"
"age","oldness","422867"
"age","year alive","432471"
"age","year old","432481"
"age","year","432676"
"age","count","432818"
"age","birthday anniversary","437326"
"age","live year","454756"
"age","get old","499688"
"age","birth year","503493"
"age","human growth","504160"
"age","people year","504567"
